Slice,Mean
1,435.957
2,504.591
3,498.135
4,478.894
5,458.942
6,445.788
7,453.389
8,513.649
9,491.817
10,470.264
11,472.957
12,464.942
13,408.942
14,456.26
15,469.476
16,490.793
17,451.913
18,449.731
19,450.173
20,453.625
21,428.005
22,472.769
23,464.966
24,462.543
25,499.149
26,499.817
27,501.192
28,491.712
29,455.043
30,501.409
31,511.423
32,491.51
33,497.438
34,482.808
35,481.327
36,537.404
37,475.159
38,513.019
39,474.163
40,482.625
41,486.841
42,511.135
43,491.942
44,497.966
45,498.327
46,472.702
47,524.572
48,511.327
49,564.587
50,525.077
51,455.726
52,439.615
53,494.067
54,529.692
55,517.048
56,505.399
57,480.361
58,477.034
59,531.909
60,525.971
61,487.332
62,496.428
63,480.707
64,475.649
65,473.019
66,500.303
67,478.226
68,470.587
69,437.308
70,400.077
71,461.043
72,500.721
73,483.082
74,461.668
75,449.971
76,454.673
77,465.712
78,488.404
79,459.452
80,467.255
81,417.192
82,436.428
83,505.433
84,494.212
85,490.928
86,485.231
87,460.322
88,469.462
89,514.928
90,525.438
91,466.38
92,456.587
93,435.615
94,460.947
95,543.457
96,477.207
97,534.721
98,439.188
99,462.971
100,475.26
101,519.361
102,539.255
103,493.322
104,461.207
105,444.505
106,447.87
107,483.577
108,512.149
109,485.947
110,479.697
111,509.976
112,516.654
113,531.457
114,498.293
115,499.837
116,441.317
117,492.423
118,480.255
119,490.322
120,458.077
121,458.49
122,511.149
123,519.812
124,532.255
125,498.596
126,495.678
127,474.168
128,512.755
129,500.149
130,491.115
131,471.856
132,486.889
133,435.957
134,514.62
135,485.918
136,492.034
137,512.678
138,476.423
139,458.303
140,469.062
141,484.312
142,477.538
143,466.308
144,422.553
145,483.74
146,480.49
147,463.014
148,443.356
149,406.034
150,425.745
151,529.264
152,492.678
153,450.062
154,472.923
155,456.077
156,487.269
157,523.029
158,549.697
159,506.736
160,471
161,445.745
162,520.88
163,509.24
164,515.284
165,514.596
166,505.322
167,464.745
168,487.418
169,520.091
170,452.457
171,434.481
172,460.721
173,501.87
174,534.279
175,539.827
176,516.024
177,481.548
178,451.149
179,487.409
180,555.038
181,543.356
182,515.317
183,491.284
184,453.389
185,532.841
186,534.413
187,553.058
188,546.514
189,500.058
190,498.341
191,495.87
192,542.25
193,521.24
194,513.688
195,452.668
196,436.712
197,446.712
198,477.716
199,518.495
200,480.087
201,430.572
202,470.212
203,488.178
204,475.952
205,432.101
206,459.168
207,434.923
208,468.409
209,515.822
210,490.135
211,459.74
212,436.889
213,498.111
214,512.63
215,481.784
216,460.048
217,480.312
218,450.534
219,526.966
220,526.562
221,478.918
222,493.38
223,478.125
224,540.264
225,510.558
226,544.197
227,507.846
228,481.909
229,484.615
230,530.817
231,555.721
232,515.341
233,487.577
234,480.212
235,439.769
236,542.62
237,523.236
238,547.178
239,531.255
240,480.188
241,504.663
242,511.139
243,540.067
244,487.812
245,474.216
246,478.293
247,540.312
248,511.284
249,491.841
250,506.457
251,441.106
252,529.269
253,545.303
254,521.904
255,468.928
256,484.231
257,521.514
258,552.404
259,515.784
260,505.024
261,452.058
262,487.236
263,519.423
264,491.918
265,494.524
266,468.971
267,476.226
268,466.668
269,505.673
270,511.409
271,483.341
272,477.135
273,499.74
274,464.062
275,492.928
276,550.529
277,485.649
278,483.942
279,489.635
280,487.038
281,520.851
282,537.077
283,541.938
284,525.558
285,511.341
286,514.524
287,501.644
288,529.356
289,522.615
290,519.721
291,484.029
292,418.596
293,529.163
294,508.904
295,482.971
296,451.433
297,425.5
298,466.106
299,497.75
300,492.668
301,505.462
302,523.865
303,488.582
304,489.135
305,567.793
306,509.293
307,522.048
308,484.76
309,460.745
310,491.462
311,522.774
312,513.543
313,479.375
314,506.149
315,518.861
316,517.019
317,501.567
318,498.587
319,486.433
320,483.731
321,465.043
322,495.356
323,524.774
324,479.673
325,507.611
326,443.413
327,474.673
328,534.067
329,477.048
330,511.779
331,446.279
332,517.707
333,533.543
334,529.562
335,523.812
336,497.428
337,449.269
338,499.827
339,500.947
340,512.077
341,492.841
342,456.356
343,477.673
344,493.649
345,507.332
346,517.663
347,487.543
348,533.519
349,475.88
350,522.99
351,502.418
352,473.048
353,491.755
354,499.221
355,451.663
356,501.784
357,514.63
358,493.591
359,472.279
360,469.303
361,463.567
362,541.909
363,530.332
364,514.269
365,502.231
366,471.538
367,448.096
368,507.279
369,566.505
370,498.572
371,488.029
372,439.923
373,472.365
374,453.995
375,494.091
376,524.87
377,481.716
378,452.755
379,471.495
380,479.183
381,509.438
382,497.505
383,469.51
384,456.683
385,462.101
386,545.495
387,543.375
388,480.601
389,463.284
390,490.889
391,488.923
392,533.053
393,512.452
394,480.087
395,468.361
396,452.231
397,513.745
398,490.986
399,533.202
400,472.317
401,499.279
402,441.447
403,420.38
404,438.423
405,447.423
406,424.442
407,424.293
408,422.024
409,443.707
410,499.875
411,502.144
412,468.635
413,466.101
414,482.774
415,437.322
416,511.428
417,502.005
418,532.798
419,486.168
420,503.447
421,454.212
422,471.024
423,510.245
424,561.649
425,507.399
426,479.091
427,473.865
428,509.058
429,484.264
430,514.481
431,476.255
432,455.558
433,444.317
434,537.341
435,529.135
436,518.226
437,491.889
438,447.611
439,454.269
440,517.683
441,524.341
442,526.745
443,490.163
444,500.702
445,473.856
446,512.654
447,522.582
448,534.269
449,505.447
450,477.947
451,450.812
452,511.654
453,513.01
454,494.74
455,483.077
456,464.894
457,464.091
458,480.659
459,536.163
460,525.308
461,493.399
462,475.163
463,437.745
464,474.327
465,521.731
466,513.327
467,498.942
468,505.038
469,498.49
470,496.038
471,573.769
472,508.038
473,544.418
474,538.442
475,470.471
476,479.548
477,524.274
478,557.38
479,576.75
480,555.332
481,509.889
482,495.519
483,492.082
484,529.01
485,518.38
486,494.962
487,490.38
488,493.856
489,471.365
490,534.981
491,477.822
492,489.764
493,485.505
494,474.779
495,426.851
496,493.74
497,487.716
498,497.365
499,470.173
500,452.5
501,462.784
502,481.486
503,493.486
504,459.245
